state_id,year,avg_temp
FL,2012,71.89166666666667
FL,2013,71.68333333333334
FL,2014,70.64166666666667
FL,2015,73.35833333333333
FL,2016,72.46666666666667
FL,2017,72.84166666666667
FL,2018,72.275
FL,2019,73.18333333333334
FL,2020,73.22500000000001
FL,2021,72.19166666666666
FL,2022,72.52499999999999
FL,2023,73.26666666666667
FL,2024,72.89999999999999
FL,2025,64.475
GA,1955,63.5
GA,1956,63.78333333333333
GA,1957,64.09166666666667
GA,1958,61.84166666666667
GA,1959,63.525
GA,1960,62.01666666666667
GA,1961,62.59166666666667
GA,1962,63.09166666666667
GA,1963,61.88333333333333
GA,1964,62.56666666666666
GA,1965,63.13333333333333
GA,1966,61.725
GA,1967,62.43333333333334
GA,1968,61.625
GA,1969,61.69166666666666
GA,1970,62.824999999999996
GA,1971,63.30833333333334
GA,1972,63.458333333333336
GA,1973,63.44166666666666
GA,1974,63.833333333333336
GA,1975,63.71666666666667
GA,1976,61.475
GA,1977,62.85
GA,1978,62.583333333333336
GA,1979,62.26666666666667
GA,1980,63.00833333333333
GA,1981,62.35
GA,1982,63.93333333333334
GA,1983,61.925000000000004
GA,1984,63.324999999999996
GA,1985,63.75
GA,1986,65.03333333333333
GA,1987,63.26666666666667
GA,1988,62.4
GA,1989,63.225
GA,1990,65.65833333333333
GA,1991,64.54166666666667
GA,1992,62.73333333333333
GA,1993,63.225
GA,1994,63.625
GA,1995,63.48333333333333
GA,1996,62.65
GA,1997,63.208333333333336
GA,1998,65.69166666666666
GA,1999,64.49166666666666
GA,2000,63.35
GA,2001,63.94166666666666
GA,2002,64.35833333333333
GA,2003,63.31666666666666
GA,2004,63.974999999999994
GA,2005,63.791666666666664
GA,2006,64.55
GA,2007,64.8
GA,2008,63.51666666666667
GA,2009,63.416666666666664
GA,2010,62.958333333333336
GA,2011,64.64166666666667
GA,2012,65.5
GA,2013,63.39166666666667
GA,2014,62.96666666666667
GA,2015,65.30833333333332
GA,2016,65.79166666666667
GA,2017,65.825
GA,2018,65.08333333333333
GA,2019,66.21666666666667
GA,2020,65.60833333333333
GA,2021,64.60000000000001
GA,2022,64.78333333333333
GA,2023,65.60000000000001
GA,2024,65.95
GA,2025,55.4
IA,1955,47.916666666666664
IA,1956,48.10833333333334
IA,1957,47.541666666666664
IA,1958,46.85833333333333
IA,1959,46.89166666666667
IA,1960,46.09166666666667
IA,1961,46.68333333333334
IA,1962,46.46666666666667
IA,1963,47.69166666666666
IA,1964,48.525
IA,1965,46.725
IA,1966,46.38333333333333
IA,1967,46.625
IA,1968,47.625
IA,1969,46.041666666666664
IA,1970,46.925000000000004
IA,1971,47.43333333333334
IA,1972,45.49166666666667
IA,1973,48.73333333333333
IA,1974,47.599999999999994
IA,1975,47.39166666666667
IA,1976,47.35833333333333
IA,1977,48.35833333333333
IA,1978,45.31666666666667
IA,1979,45.13333333333333
IA,1980,48.00833333333333
IA,1981,48.96666666666667
IA,1982,46.074999999999996
IA,1983,47.65
IA,1984,47.76666666666667
IA,1985,45.900000000000006
IA,1986,48.550000000000004
IA,1987,51.18333333333333
IA,1988,48.699999999999996
IA,1989,46.6
IA,1990,49.458333333333336
IA,1991,48.583333333333336
IA,1992,47.84166666666667
IA,1993,45.666666666666664
IA,1994,47.458333333333336
IA,1995,47.25833333333333
IA,1996,45.166666666666664
IA,1997,47.1
IA,1998,50.916666666666664
IA,1999,49.65833333333333
IA,2000,48.63333333333333
IA,2001,49.05833333333334
IA,2002,49.166666666666664
IA,2003,47.90833333333333
IA,2004,48.50833333333333
IA,2005,49.61666666666667
IA,2006,50.39166666666667
IA,2007,48.89166666666667
IA,2008,45.916666666666664
IA,2009,46.699999999999996
IA,2010,48.19166666666666
IA,2011,48.40833333333333
IA,2012,52.06666666666666
IA,2013,46.65833333333333
IA,2014,45.458333333333336
IA,2015,49.26666666666667
IA,2016,50.71666666666667
IA,2017,50.0
IA,2018,47.49166666666667
IA,2019,46.81666666666666
IA,2020,49.15
IA,2021,50.0
IA,2022,47.50833333333333
IA,2023,50.51666666666667
IA,2024,51.5
IA,2025,33.05
ID,1955,40.300000000000004
ID,1956,42.00833333333333
ID,1957,42.06666666666667
ID,1958,44.48333333333333
ID,1959,42.63333333333333
ID,1960,42.275
ID,1961,43.55833333333333
ID,1962,42.43333333333333
ID,1963,43.49166666666667
ID,1964,40.6
ID,1965,42.475
ID,1966,43.48333333333333
ID,1967,43.59166666666667
ID,1968,42.30833333333333
ID,1969,42.75
ID,1970,42.475
ID,1971,41.699999999999996
ID,1972,42.13333333333333
ID,1973,42.78333333333333
ID,1974,43.041666666666664
ID,1975,41.166666666666664
ID,1976,42.141666666666666
ID,1977,42.99166666666667
ID,1978,42.358333333333334
ID,1979,42.36666666666667
ID,1980,43.25833333333333
ID,1981,44.34166666666667
ID,1982,41.050000000000004
ID,1983,42.875
ID,1984,40.75833333333333
ID,1985,39.666666666666664
ID,1986,44.074999999999996
ID,1987,44.50833333333333
ID,1988,44.18333333333334
ID,1989,42.75
ID,1990,43.449999999999996
ID,1991,43.275
ID,1992,44.975
ID,1993,40.90833333333334
ID,1994,44.324999999999996
ID,1995,43.65
ID,1996,43.175000000000004
ID,1997,43.23333333333333
ID,1998,44.324999999999996
ID,1999,43.583333333333336
ID,2000,43.93333333333334
ID,2001,44.24166666666667
ID,2002,42.958333333333336
ID,2003,45.36666666666667
ID,2004,44.15
ID,2005,43.583333333333336
ID,2006,44.18333333333334
ID,2007,44.775
ID,2008,42.525
ID,2009,42.81666666666666
ID,2010,43.324999999999996
ID,2011,42.38333333333333
ID,2012,45.1
ID,2013,43.708333333333336
ID,2014,45.1
ID,2015,46.375
ID,2016,45.09166666666667
ID,2017,44.25833333333333
ID,2018,44.525000000000006
ID,2019,42.98333333333333
ID,2020,44.333333333333336
ID,2021,45.416666666666664
ID,2022,43.53333333333333
ID,2023,43.76666666666667
ID,2024,45.46666666666667
ID,2025,32.15
IL,1955,52.425000000000004
IL,1956,52.65
IL,1957,51.824999999999996
IL,1958,50.050000000000004
IL,1959,51.88333333333333
IL,1960,50.31666666666666
IL,1961,51.10833333333333
IL,1962,50.89166666666667
IL,1963,50.675000000000004
IL,1964,52.48333333333333
IL,1965,51.94166666666666
IL,1966,50.574999999999996
IL,1967,50.55833333333334
IL,1968,51.11666666666667
IL,1969,50.4
IL,1970,51.21666666666667
IL,1971,52.21666666666667
IL,1972,50.324999999999996
IL,1973,53.041666666666664
IL,1974,51.61666666666667
IL,1975,51.99166666666667
IL,1976,50.375
IL,1977,51.50833333333333
IL,1978,49.56666666666666
IL,1979,49.36666666666667
IL,1980,51.300000000000004
IL,1981,51.75
IL,1982,50.68333333333334
IL,1983,51.99166666666667
IL,1984,51.800000000000004
IL,1985,50.63333333333333
IL,1986,52.833333333333336
IL,1987,54.09166666666667
IL,1988,52.10833333333333
IL,1989,50.4
IL,1990,53.55833333333334
IL,1991,53.73333333333333
IL,1992,51.88333333333333
IL,1993,50.85833333333333
IL,1994,51.98333333333333
IL,1995,51.59166666666667
IL,1996,50.125
IL,1997,50.958333333333336
IL,1998,55.21666666666667
IL,1999,53.53333333333333
IL,2000,52.199999999999996
IL,2001,53.35833333333333
IL,2002,53.24166666666667
IL,2003,51.708333333333336
IL,2004,52.583333333333336
IL,2005,53.699999999999996
IL,2006,54.0
IL,2007,53.675000000000004
IL,2008,50.916666666666664
IL,2009,51.425000000000004
IL,2010,52.89166666666667
IL,2011,53.15
IL,2012,55.775
IL,2013,51.083333333333336
IL,2014,49.48333333333333
IL,2015,52.86666666666667
IL,2016,54.73333333333333
IL,2017,54.39166666666667
IL,2018,52.475
IL,2019,52.1
IL,2020,53.30833333333333
IL,2021,53.76666666666666
IL,2022,52.05833333333333
IL,2023,54.74166666666667
IL,2024,55.51666666666667
IL,2025,38.475
IN,1955,52.13333333333333
IN,1956,52.11666666666667
IN,1957,51.61666666666667
IN,1958,49.449999999999996
IN,1959,51.96666666666667
IN,1960,50.050000000000004
IN,1961,50.81666666666666
IN,1962,50.50833333333333
IN,1963,49.61666666666667
IN,1964,51.949999999999996
IN,1965,51.550000000000004
IN,1966,50.15
IN,1967,50.28333333333333
IN,1968,50.708333333333336
IN,1969,50.13333333333333
IN,1970,50.975
IN,1971,51.55833333333334
IN,1972,50.21666666666667
IN,1973,52.916666666666664
IN,1974,51.291666666666664
IN,1975,51.99166666666667
IN,1976,49.96666666666667
IN,1977,51.041666666666664
IN,1978,49.050000000000004
IN,1979,49.24166666666667
IN,1980,50.51666666666667
IN,1981,50.791666666666664
IN,1982,50.699999999999996
IN,1983,51.80833333333334
IN,1984,51.26666666666667
IN,1985,51.01666666666667
IN,1986,52.400000000000006
IN,1987,53.224999999999994
IN,1988,51.28333333333333
IN,1989,50.18333333333334
IN,1990,53.291666666666664
IN,1991,53.708333333333336
IN,1992,51.28333333333333
IN,1993,50.775000000000006
IN,1994,51.49166666666667
IN,1995,51.49166666666667
IN,1996,50.050000000000004
IN,1997,50.5
IN,1998,54.94166666666666
IN,1999,53.208333333333336
IN,2000,51.55833333333334
IN,2001,53.15833333333333
IN,2002,53.11666666666667
IN,2003,51.06666666666666
IN,2004,52.21666666666667
IN,2005,52.85
IN,2006,53.425000000000004
IN,2007,53.28333333333333
IN,2008,51.041666666666664
IN,2009,51.28333333333333
IN,2010,52.6
IN,2011,53.06666666666666
IN,2012,55.13333333333333
IN,2013,51.208333333333336
IN,2014,49.40833333333333
IN,2015,52.30833333333334
IN,2016,54.225
IN,2017,53.975
IN,2018,52.59166666666667
IN,2019,52.4
IN,2020,53.291666666666664
IN,2021,53.5
IN,2022,52.175000000000004
IN,2023,54.324999999999996
IN,2024,55.19166666666666
IN,2025,38.225
KS,1955,54.583333333333336
KS,1956,55.93333333333334
KS,1957,53.64166666666667
KS,1958,53.14166666666667
KS,1959,53.574999999999996
KS,1960,52.666666666666664
KS,1961,52.65833333333333
KS,1962,54.31666666666666
KS,1963,55.833333333333336
KS,1964,54.86666666666667
KS,1965,54.449999999999996
KS,1966,53.449999999999996
KS,1967,53.85
KS,1968,53.48333333333333
KS,1969,53.14166666666667
KS,1970,54.0
KS,1971,53.824999999999996
KS,1972,53.19166666666666
KS,1973,53.99166666666667
KS,1974,54.375
KS,1975,53.725
KS,1976,54.199999999999996
KS,1977,55.449999999999996
KS,1978,52.699999999999996
KS,1979,52.291666666666664
KS,1980,55.083333333333336
KS,1981,55.666666666666664
KS,1982,53.025
KS,1983,53.19166666666666
KS,1984,53.975
KS,1985,52.53333333333333
KS,1986,56.19166666666666
KS,1987,55.449999999999996
KS,1988,54.73333333333333
KS,1989,53.14166666666667
KS,1990,55.50833333333333
KS,1991,55.699999999999996
KS,1992,54.15833333333333
KS,1993,51.93333333333334
KS,1994,54.916666666666664
KS,1995,53.925000000000004
KS,1996,53.083333333333336
KS,1997,53.666666666666664
KS,1998,56.31666666666667
KS,1999,55.99166666666667
KS,2000,55.53333333333333
KS,2001,55.916666666666664
KS,2002,55.18333333333334
KS,2003,54.96666666666667
KS,2004,55.06666666666667
KS,2005,55.89166666666667
KS,2006,56.875
KS,2007,55.074999999999996
KS,2008,53.574999999999996
KS,2009,53.6
KS,2010,55.275
KS,2011,55.208333333333336
KS,2012,58.21666666666667
KS,2013,53.71666666666667
KS,2014,53.68333333333334
KS,2015,56.300000000000004
KS,2016,57.166666666666664
KS,2017,56.5
KS,2018,54.6
KS,2019,53.81666666666666
KS,2020,55.61666666666667
KS,2021,56.11666666666667
KS,2022,55.15
KS,2023,56.34166666666667
KS,2024,57.51666666666667
KS,2025,40.400000000000006
KY,1955,55.958333333333336
KY,1956,56.09166666666667
KY,1957,56.09166666666667
KY,1958,53.03333333333333
KY,1959,55.833333333333336
KY,1960,53.63333333333333
KY,1961,54.475
KY,1962,54.65
KY,1963,53.666666666666664
KY,1964,55.59166666666667
KY,1965,55.574999999999996
KY,1966,53.775
KY,1967,54.39166666666667
KY,1968,53.99166666666667
KY,1969,53.9
KY,1970,55.041666666666664
KY,1971,55.43333333333334
KY,1972,54.74166666666667
KY,1973,56.25833333333333
KY,1974,55.449999999999996
KY,1975,55.775
KY,1976,53.324999999999996
KY,1977,54.791666666666664
KY,1978,53.36666666666667
KY,1979,53.425000000000004
KY,1980,54.63333333333333
KY,1981,54.34166666666667
KY,1982,55.31666666666666
KY,1983,55.050000000000004
KY,1984,55.324999999999996
KY,1985,55.03333333333333
KY,1986,56.61666666666667
KY,1987,56.475
KY,1988,54.800000000000004
KY,1989,54.34166666666667
KY,1990,57.31666666666666
KY,1991,57.375
KY,1992,55.083333333333336
KY,1993,55.0
KY,1994,55.39166666666667
KY,1995,55.36666666666667
KY,1996,54.4
KY,1997,54.475
KY,1998,58.18333333333334
KY,1999,57.25833333333333
KY,2000,55.666666666666664
KY,2001,56.59166666666667
KY,2002,56.833333333333336
KY,2003,55.24166666666667
KY,2004,56.40833333333333
KY,2005,56.78333333333333
KY,2006,56.80833333333334
KY,2007,57.71666666666667
KY,2008,55.35
KY,2009,55.39166666666667
KY,2010,56.00833333333333
KY,2011,56.925000000000004
KY,2012,58.40833333333333
KY,2013,55.041666666666664
KY,2014,54.34166666666667
KY,2015,56.56666666666666
KY,2016,57.925000000000004
KY,2017,57.81666666666666
KY,2018,56.958333333333336
KY,2019,57.475
KY,2020,57.14166666666667
KY,2021,56.958333333333336
KY,2022,56.324999999999996
KY,2023,58.09166666666666
KY,2024,58.791666666666664
KY,2025,44.225
LA,1955,66.85000000000001
LA,1956,67.02499999999999
LA,1957,67.06666666666666
LA,1958,64.94166666666666
LA,1959,65.8
LA,1960,65.125
LA,1961,65.06666666666666
LA,1962,66.49166666666666
LA,1963,65.86666666666666
LA,1964,66.05833333333332
LA,1965,66.83333333333333
LA,1966,65.175
LA,1967,65.75
LA,1968,64.36666666666666
LA,1969,65.625
LA,1970,65.34166666666667
LA,1971,66.48333333333333
LA,1972,66.48333333333333
LA,1973,66.23333333333333
LA,1974,66.51666666666667
LA,1975,66.08333333333333
LA,1976,64.33333333333333
LA,1977,66.05
LA,1978,65.08333333333333
LA,1979,64.54166666666667
LA,1980,66.05
LA,1981,66.05
LA,1982,66.675
LA,1983,64.36666666666666
LA,1984,66.31666666666666
LA,1985,66.35833333333333
LA,1986,67.3
LA,1987,65.99166666666666
LA,1988,65.63333333333334
LA,1989,65.45
LA,1990,67.80833333333334
LA,1991,66.91666666666667
LA,1992,65.825
LA,1993,65.60833333333333
LA,1994,66.45833333333333
LA,1995,66.77499999999999
LA,1996,66.15833333333333
LA,1997,66.03333333333333
LA,1998,68.64166666666667
LA,1999,67.85
LA,2000,67.24166666666666
LA,2001,66.65833333333333
LA,2002,66.64166666666667
LA,2003,66.375
LA,2004,67.14166666666667
LA,2005,67.50833333333334
LA,2006,67.77499999999999
LA,2007,67.38333333333334
LA,2008,66.64166666666667
LA,2009,66.85000000000001
LA,2010,66.45833333333333
LA,2011,67.71666666666667
LA,2012,68.71666666666667
LA,2013,66.25
LA,2014,65.075
LA,2015,68.09166666666667
LA,2016,68.74166666666666
LA,2017,68.71666666666667
LA,2018,67.77499999999999
LA,2019,67.70833333333333
LA,2020,68.15833333333333
LA,2021,67.48333333333333
LA,2022,67.25
LA,2023,69.63333333333334
LA,2024,69.20833333333333
LA,2025,58.725
MA,1955,47.48333333333333
MA,1956,46.35
MA,1957,48.225
MA,1958,45.708333333333336
MA,1959,47.900000000000006
MA,1960,46.85833333333333
MA,1961,47.041666666666664
MA,1962,45.56666666666666
MA,1963,46.30833333333334
MA,1964,46.80833333333334
MA,1965,46.300000000000004
MA,1966,46.89166666666666
MA,1967,46.01666666666667
MA,1968,46.48333333333333
MA,1969,47.14166666666667
MA,1970,46.65833333333333
MA,1971,47.041666666666664
MA,1972,45.94166666666666
MA,1973,48.975
MA,1974,47.10833333333333
MA,1975,48.0
MA,1976,46.583333333333336
MA,1977,47.13333333333333
MA,1978,45.699999999999996
MA,1979,47.86666666666667
MA,1980,46.574999999999996
MA,1981,47.225
MA,1982,46.775
MA,1983,48.475
MA,1984,47.958333333333336
MA,1985,47.23333333333333
MA,1986,47.175000000000004
MA,1987,47.4
MA,1988,47.19166666666666
MA,1989,46.65
MA,1990,49.675000000000004
MA,1991,49.56666666666666
MA,1992,46.4
MA,1993,47.30833333333334
MA,1994,47.65
MA,1995,47.791666666666664
MA,1996,47.324999999999996
MA,1997,47.35833333333333
MA,1998,50.36666666666667
MA,1999,49.78333333333333
MA,2000,47.51666666666667
MA,2001,49.09166666666667
MA,2002,49.34166666666667
MA,2003,47.10833333333333
MA,2004,47.61666666666667
MA,2005,48.39166666666667
MA,2006,50.11666666666667
MA,2007,48.291666666666664
MA,2008,48.60833333333333
MA,2009,47.74166666666667
MA,2010,50.349999999999994
MA,2011,49.666666666666664
MA,2012,51.333333333333336
MA,2013,48.800000000000004
MA,2014,47.725
MA,2015,48.458333333333336
MA,2016,50.31666666666666
MA,2017,49.574999999999996
MA,2018,49.474999999999994
MA,2019,48.541666666666664
MA,2020,50.9
MA,2021,50.80833333333334
MA,2022,50.300000000000004
MA,2023,51.26666666666667
MA,2024,51.14166666666666
MA,2025,34.85
MD,1955,54.10833333333333
MD,1956,53.84166666666667
MD,1957,54.55833333333334
MD,1958,52.0
MD,1959,55.225
MD,1960,52.86666666666667
MD,1961,53.51666666666667
MD,1962,52.48333333333333
MD,1963,52.449999999999996
MD,1964,53.791666666666664
MD,1965,53.458333333333336
MD,1966,52.85833333333333
MD,1967,52.416666666666664
MD,1968,53.35
MD,1969,53.00833333333333
MD,1970,53.666666666666664
MD,1971,54.041666666666664
MD,1972,53.1
MD,1973,55.06666666666666
MD,1974,54.208333333333336
MD,1975,54.59166666666667
MD,1976,53.150000000000006
MD,1977,53.916666666666664
MD,1978,52.458333333333336
MD,1979,53.074999999999996
MD,1980,53.541666666666664
MD,1981,53.09166666666667
MD,1982,53.583333333333336
MD,1983,54.15833333333333
MD,1984,54.150000000000006
MD,1985,54.76666666666667
MD,1986,54.574999999999996
MD,1987,54.69166666666666
MD,1988,53.666666666666664
MD,1989,53.541666666666664
MD,1990,56.60833333333333
MD,1991,56.49166666666667
MD,1992,53.48333333333333
MD,1993,54.21666666666667
MD,1994,54.35833333333333
MD,1995,54.39166666666667
MD,1996,53.24166666666667
MD,1997,54.041666666666664
MD,1998,57.00833333333333
MD,1999,55.708333333333336
MD,2000,54.13333333333333
MD,2001,55.324999999999996
MD,2002,56.275
MD,2003,53.916666666666664
MD,2004,55.166666666666664
MD,2005,55.166666666666664
MD,2006,56.51666666666667
MD,2007,55.69166666666666
MD,2008,55.31666666666666
MD,2009,54.60833333333333
MD,2010,55.85
MD,2011,56.525
MD,2012,57.49166666666667
MD,2013,54.71666666666667
MD,2014,53.56666666666667
MD,2015,55.44166666666666
MD,2016,56.46666666666667
MD,2017,56.68333333333334
MD,2018,55.925000000000004
MD,2019,56.55833333333334
MD,2020,57.199999999999996
MD,2021,56.84166666666667
MD,2022,55.71666666666667
MD,2023,57.300000000000004
MD,2024,57.5
MD,2025,42.925
ME,1955,40.43333333333333
ME,1956,39.333333333333336
ME,1957,41.083333333333336
ME,1958,39.61666666666667
ME,1959,40.7
ME,1960,41.225
ME,1961,40.733333333333334
ME,1962,39.00833333333333
ME,1963,39.59166666666667
ME,1964,40.1
ME,1965,39.300000000000004
ME,1966,41.075
ME,1967,39.416666666666664
ME,1968,39.75
ME,1969,40.9
ME,1970,40.1
ME,1971,39.99166666666667
ME,1972,38.516666666666666
ME,1973,42.25
ME,1974,39.6
ME,1975,40.824999999999996
ME,1976,39.525
ME,1977,40.483333333333334
ME,1978,39.300000000000004
ME,1979,41.833333333333336
ME,1980,39.541666666666664
ME,1981,41.78333333333333
ME,1982,39.85
ME,1983,42.11666666666667
ME,1984,41.35
ME,1985,39.90833333333333
ME,1986,40.06666666666667
ME,1987,41.06666666666667
ME,1988,40.925
ME,1989,39.28333333333333
ME,1990,42.40833333333334
ME,1991,41.708333333333336
ME,1992,39.824999999999996
ME,1993,39.95
ME,1994,40.425000000000004
ME,1995,40.93333333333333
ME,1996,40.975
ME,1997,39.80833333333333
ME,1998,43.49166666666667
ME,1999,43.800000000000004
ME,2000,40.93333333333333
ME,2001,42.65
ME,2002,41.699999999999996
ME,2003,40.449999999999996
ME,2004,40.44166666666667
ME,2005,41.833333333333336
ME,2006,43.975
ME,2007,40.71666666666667
ME,2008,41.608333333333334
ME,2009,40.85833333333333
ME,2010,44.63333333333333
ME,2011,42.81666666666666
ME,2012,43.85833333333333
ME,2013,41.96666666666667
ME,2014,41.19166666666667
ME,2015,41.225
ME,2016,43.25833333333333
ME,2017,42.36666666666667
